Operating System,Percentage
Raspberry Pi OS (32-bit),45.59%
Raspberry Pi OS (other),24.36%
Ubuntu,12.59%
RetroPie,5.31%
Recalbox,3.82%
LibreELEC,3.21%
Misc utility images,1.72%
Bootloader,1.37%
Manjaro ARM Linux,1.04%
RISC OS Pi,0.86%
TLXOS,0.11%
OctoPi,0.02%
