Operating System,Percentage
Raspberry Pi OS (32-bit),47.42%
Raspberry Pi OS (other),24.72%
Ubuntu,11.73%
RetroPie,4.98%
Recalbox,4.59%
LibreELEC,3.19%
Misc utility images,2.28%
RISC OS Pi,0.96%
TLXOS,0.12%
