Operating System,Percentage
Raspberry Pi OS (32-bit),46.26%
Raspberry Pi OS (other),24.24%
Ubuntu,13.29%
RetroPie,4.86%
Recalbox,3.44%
LibreELEC,2.99%
Misc utility images,2.27%
Manjaro ARM Linux,1.79%
RISC OS Pi,0.71%
TLXOS,0.14%
