Operating System,Percentage
Raspberry Pi OS (32-bit),46.21%
Raspberry Pi OS (other),24.64%
Ubuntu,12.80%
RetroPie,5.27%
Recalbox,4.23%
LibreELEC,3.33%
Misc utility images,2.43%
RISC OS Pi,0.99%
TLXOS,0.10%
