Operating System,Percentage
Raspberry Pi OS (32-bit),41.21%
Raspberry Pi OS (other),22.69%
Ubuntu,16.24%
RetroPie,4.78%
Bootloader,4.38%
Recalbox,4.22%
LibreELEC,2.74%
Manjaro ARM Linux,2.06%
RISC OS Pi,0.67%
OctoPi,0.46%
Homebridge,0.22%
info-beamer digital signage,0.21%
ALT,0.06%
TLXOS,0.06%
