Operating System,Percentage
Raspberry Pi OS (32-bit),40.96%
Raspberry Pi OS (other),22.66%
Ubuntu,16.41%
RetroPie,4.76%
Recalbox,4.36%
Bootloader,4.30%
LibreELEC,2.71%
Manjaro ARM Linux,2.00%
RISC OS Pi,0.69%
OctoPi,0.46%
Homebridge,0.37%
info-beamer digital signage,0.20%
TLXOS,0.07%
ALT,0.06%
Misc utility images,0.00%
