Operating System,Percentage
Raspberry Pi OS (32-bit),46.99%
Raspberry Pi OS (other),24.70%
Ubuntu,12.18%
RetroPie,4.97%
Recalbox,4.51%
LibreELEC,3.28%
Misc utility images,2.27%
RISC OS Pi,0.98%
TLXOS,0.12%
