Operating System,Percentage
Raspberry Pi OS (32-bit),47.37%
Raspberry Pi OS (other),24.77%
Ubuntu,11.88%
RetroPie,4.94%
Recalbox,4.44%
LibreELEC,3.30%
Misc utility images,2.18%
RISC OS Pi,1.02%
TLXOS,0.12%
