Image,Percentage
Raspberry Pi OS (32-bit),43.18%
Raspberry Pi OS Lite (32-bit),14.07%
Raspberry Pi OS Full (32-bit),8.53%
Ubuntu Desktop 21.04 (RPi 4/400),7.16%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.65%
Ubuntu Server 21.04 (RPi 3/4/400),2.42%
RetroPie 4.7.1 (RPI 4/400),2.34%
SD Card Boot,2.11%
USB Boot,2.08%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.63%
Recalbox 7.2-Reloaded - Pi3,1.62%
RetroPie 4.7.1 (RPI 2/3),1.42%
LibreELEC (RPi2/RPi3),1.20%
LibreELEC (RPi4),1.12%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.04%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.94%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.87%
RetroPie 4.7.1 (RPI 1/Zero),0.60%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.56%
Ubuntu Core 18 (RPi 3/4),0.53%
RISC OS (5.28),0.50%
OctoPi,0.43%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.41%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.35%
info-beamer OS,0.28%
Ubuntu Core 18 (RPi 2/3/4),0.24%
LibreELEC (RPi0/RPi1),0.20%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.16%
Network Boot,0.15%
Recalbox 7.2-Reloaded - Pi2,0.07%
TLXOS RPi 4.9.3 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.01%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
