Operating System,Percentage
Raspberry Pi OS (32-bit),46.61%
Raspberry Pi OS (other),24.47%
Ubuntu,12.83%
RetroPie,4.95%
Recalbox,4.41%
LibreELEC,3.30%
Misc utility images,2.30%
RISC OS Pi,0.99%
TLXOS,0.13%
