Operating System,Percentage
Raspberry Pi OS (32-bit),42.74%
Raspberry Pi OS (other),24.04%
Ubuntu,13.79%
RetroPie,4.82%
Bootloader,4.54%
Recalbox,3.71%
LibreELEC,2.85%
Manjaro ARM Linux,2.20%
RISC OS Pi,0.67%
OctoPi,0.47%
ALT,0.11%
TLXOS,0.06%
