Operating System,Percentage
Raspberry Pi OS (32-bit),44.62%
Raspberry Pi OS (other),24.13%
Ubuntu,12.29%
RetroPie,5.43%
Recalbox,3.80%
LibreELEC,3.19%
Bootloader,2.93%
Manjaro ARM Linux,1.91%
RISC OS Pi,0.74%
Misc utility images,0.70%
OctoPi,0.16%
TLXOS,0.10%
