Operating System,Percentage
Raspberry Pi OS (32-bit),46.06%
Raspberry Pi OS (other),24.56%
Ubuntu,13.03%
RetroPie,5.48%
Recalbox,4.08%
LibreELEC,3.25%
Misc utility images,2.45%
RISC OS Pi,1.00%
TLXOS,0.08%
