Image,Percentage
Raspberry Pi OS (32-bit),46.16%
Raspberry Pi OS Lite (32-bit),14.26%
Raspberry Pi OS Full (32-bit),10.13%
Ubuntu Desktop 20.10 (RPi 4/400),5.87%
RetroPie 4.7.1 (RPI 4/400),3.01%
Raspberry Pi 4 EEPROM boot recovery,2.42%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.28%
Recalbox 7.1.1-Reloaded (Pi 3),2.17%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.13%
RetroPie 4.7.1 (RPI 2/3),1.75%
LibreELEC (RPi4),1.68%
Ubuntu Server 20.10 (RPi 3/4/400),1.59%
LibreELEC (RPi2/RPi3),1.43%
RISC OS (5.28),1.02%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.89%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.61%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.47%
Ubuntu Core 18 (RPi 3/4),0.43%
LibreELEC (RPi0/RPi1),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.30%
Recalbox 7.1.1-Reloaded (Pi 2),0.24%
TLXOS RPi 4.9.2 (latest),0.08%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
TLXOS RPi 4.8.0 (LTS),0.01%
