Image,Percentage
Raspberry Pi OS (32-bit),41.07%
Raspberry Pi OS Lite (32-bit),13.64%
Raspberry Pi OS Full (32-bit),8.91%
Ubuntu Desktop 21.04 (RPi 4/400),7.45%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.54%
Ubuntu Server 21.04 (RPi 3/4/400),2.56%
RetroPie 4.7.1 (RPI 4/400),2.51%
SD Card Boot,2.17%
Recalbox 7.2-Reloaded - Pi4 / Pi400,2.04%
Recalbox 7.2-Reloaded - Pi3,1.96%
USB Boot,1.92%
RetroPie 4.7.1 (RPI 2/3),1.61%
LibreELEC (RPi4),1.34%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.21%
LibreELEC (RPi2/RPi3),1.19%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.97%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.92%
RISC OS (5.28),0.70%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
Ubuntu Core 18 (RPi 3/4),0.57%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.52%
OctoPi,0.41%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.40%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.23%
LibreELEC (RPi0/RPi1),0.23%
info-beamer OS,0.17%
Network Boot,0.16%
Recalbox 7.2-Reloaded - Pi2,0.16%
TLXOS RPi 4.9.3 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
OctoPi (mirror),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
Recalbox 7.1.1-Reloaded (Pi 3),0.00%
