Image,Percentage
Raspberry Pi OS (32-bit),38.43%
Raspberry Pi OS Lite (32-bit),12.77%
Raspberry Pi OS Full (32-bit),9.20%
Ubuntu Desktop 21.04 (RPi 4/400),7.29%
Recalbox 7.2-Reloaded - Pi4 / Pi400,3.72%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.59%
Recalbox 7.2-Reloaded - Pi3,2.87%
RetroPie 4.7.1 (RPI 4/400),2.85%
Ubuntu Server 21.04 (RPi 3/4/400),2.77%
USB Boot,2.24%
SD Card Boot,1.79%
RetroPie 4.7.1 (RPI 2/3),1.73%
LibreELEC (RPi4),1.48%
LibreELEC (RPi2/RPi3),1.21%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.07%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),1.01%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.85%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.60%
RISC OS (5.28),0.55%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.50%
Ubuntu Core 18 (RPi 3/4),0.47%
OctoPi,0.46%
Ubuntu Core 18 (RPi 2/3/4),0.38%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
LibreELEC (RPi0/RPi1),0.25%
Recalbox 7.2-Reloaded - Pi2,0.24%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.19%
Network Boot,0.15%
info-beamer OS,0.14%
TLXOS RPi 4.9.3 (latest),0.06%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.03%
info-beamer OS (testing),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.01%
