Operating System,Percentage
Raspberry Pi OS (32-bit),46.65%
Raspberry Pi OS (other),24.47%
Ubuntu,12.78%
RetroPie,4.89%
Recalbox,4.38%
LibreELEC,3.36%
Misc utility images,2.33%
RISC OS Pi,1.02%
TLXOS,0.13%
