Operating System,Percentage
Raspberry Pi OS (32-bit),45.97%
Raspberry Pi OS (other),24.93%
Ubuntu,12.96%
RetroPie,5.35%
Recalbox,4.02%
LibreELEC,3.30%
Misc utility images,2.39%
RISC OS Pi,1.00%
TLXOS,0.08%
