Image,Percentage
Raspberry Pi OS (32-bit),44.40%
Raspberry Pi OS Lite (32-bit),15.02%
Raspberry Pi OS Full (32-bit),10.18%
Ubuntu Desktop 20.10 (RPi 4/400),5.72%
RetroPie 4.7.1 (RPI 4/400),3.04%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.67%
Raspberry Pi 4 EEPROM boot recovery,2.52%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.27%
Recalbox 7.1.1-Reloaded (Pi 3),2.13%
LibreELEC (RPi2/RPi3),1.81%
LibreELEC (RPi4),1.71%
RetroPie 4.7.1 (RPI 2/3),1.67%
Ubuntu Server 20.10 (RPi 3/4/400),1.52%
RISC OS (5.28),0.96%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.95%
RetroPie 4.7.1 (RPI 1/Zero),0.80%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.69%
Ubuntu Core 18 (RPi 3/4),0.53%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.45%
LibreELEC (RPi0/RPi1),0.36%
Ubuntu Core 18 (RPi 2/3/4),0.30%
Recalbox 7.1.1-Reloaded (Pi 2),0.18%
TLXOS RPi 4.9.3 (latest),0.09%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
