Operating System,Percentage
Raspberry Pi OS (32-bit),44.62%
Raspberry Pi OS (other),24.99%
Ubuntu,11.89%
RetroPie,5.80%
Recalbox,5.52%
LibreELEC,3.48%
Misc utility images,2.62%
RISC OS Pi,0.94%
TLXOS,0.15%
