Operating System,Percentage
Raspberry Pi OS (32-bit),46.79%
Raspberry Pi OS (other),24.36%
Ubuntu,13.07%
RetroPie,5.30%
Recalbox,3.74%
LibreELEC,3.05%
Misc utility images,2.41%
RISC OS Pi,1.19%
TLXOS,0.08%
