Operating System,Percentage
Raspberry Pi OS (32-bit),44.52%
Raspberry Pi OS (other),24.05%
Ubuntu,13.30%
RetroPie,5.25%
Recalbox,3.68%
LibreELEC,3.04%
Bootloader,2.62%
Manjaro ARM Linux,1.49%
Misc utility images,0.92%
RISC OS Pi,0.81%
OctoPi,0.23%
TLXOS,0.08%
ALT,0.01%
