Operating System,Percentage
Raspberry Pi OS (32-bit),42.50%
Raspberry Pi OS (other),23.74%
Ubuntu,11.72%
RetroPie,6.17%
Bootloader,4.49%
Recalbox,4.48%
LibreELEC,3.53%
Manjaro ARM Linux,2.19%
RISC OS Pi,0.63%
OctoPi,0.46%
TLXOS,0.10%
