Image,Percentage
Raspberry Pi OS (32-bit),46.35%
Raspberry Pi OS Lite (32-bit),14.68%
Raspberry Pi OS Full (32-bit),9.99%
Ubuntu Desktop 20.10 (RPi 4/400),5.88%
RetroPie 4.7.1 (RPI 4/400),2.73%
Raspberry Pi 4 EEPROM boot recovery,2.36%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.20%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.90%
Recalbox 7.1.1-Reloaded (Pi 3),1.75%
RetroPie 4.7.1 (RPI 2/3),1.74%
Ubuntu Server 20.10 (RPi 3/4/400),1.71%
LibreELEC (RPi4),1.61%
LibreELEC (RPi2/RPi3),1.39%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.99%
RISC OS (5.28),0.99%
RetroPie 4.7.1 (RPI 1/Zero),0.71%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.58%
Ubuntu Core 18 (RPi 3/4),0.55%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
Ubuntu Core 18 (RPi 2/3/4),0.34%
Ubuntu Server 20.04.1 LTS (RPi 3/4),0.31%
LibreELEC (RPi0/RPi1),0.31%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.11%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.09%
TLXOS RPi 4.9.3 (latest),0.07%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.9.2 (latest),0.00%
TLXOS RPi IoT 4.8.0 (LTS),0.00%
TLXOS RPi 4.8.0 (LTS),0.00%
