Operating System,Percentage
Raspberry Pi OS (32-bit),47.57%
Raspberry Pi OS (other),24.76%
Ubuntu,11.74%
RetroPie,4.84%
Recalbox,4.57%
LibreELEC,3.14%
Misc utility images,2.28%
RISC OS Pi,0.97%
TLXOS,0.12%
