Image,Percentage
Raspberry Pi OS (32-bit),38.93%
Raspberry Pi OS Lite (32-bit),14.19%
Raspberry Pi OS Full (32-bit),8.79%
Ubuntu Desktop 21.04 (RPi 4/400),7.64%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.68%
Ubuntu Server 21.04 (RPi 3/4/400),2.67%
RetroPie 4.7.1 (RPI 4/400),2.67%
SD Card Boot,2.34%
USB Boot,1.97%
Recalbox 7.2.1-Reloaded - Pi3,1.95%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.93%
RetroPie 4.7.1 (RPI 2/3),1.70%
LibreELEC (RPi4),1.60%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.27%
LibreELEC (RPi2/RPi3),1.15%
Homebridge,0.96%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.88%
RISC OS (5.28),0.87%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.76%
RetroPie 4.7.1 (RPI 1/Zero),0.67%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.55%
Ubuntu Core 18 (RPi 3/4),0.51%
OctoPi,0.37%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.35%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.26%
LibreELEC (RPi0/RPi1),0.24%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.24%
Ubuntu Core 18 (RPi 2/3/4),0.23%
Recalbox 7.2.1-Reloaded - Pi2,0.22%
info-beamer OS,0.21%
Network Boot,0.13%
TLXOS RPi 4.9.3 (latest),0.03%
info-beamer OS (testing),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
OctoPi (mirror),0.01%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.01%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
