Image,Percentage
Raspberry Pi OS (32-bit),46.59%
Raspberry Pi OS Lite (32-bit),13.66%
Raspberry Pi OS Full (32-bit),10.25%
Ubuntu Desktop 20.10 (RPi 4/400),5.32%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.65%
RetroPie 4.7.1 (RPI 4/400),2.61%
SD Card Boot,2.03%
USB Boot,1.94%
RetroPie 4.7.1 (RPI 2/3),1.55%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.53%
Ubuntu Server 20.10 (RPi 3/4/400),1.48%
LibreELEC (RPi4),1.41%
Recalbox 7.1.1-Reloaded (Pi 3),1.24%
LibreELEC (RPi2/RPi3),1.20%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.85%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.81%
RISC OS (5.28),0.77%
RetroPie 4.7.1 (RPI 1/Zero),0.74%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.70%
Ubuntu Core 18 (RPi 3/4),0.43%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.41%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.30%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.29%
Ubuntu Core 18 (RPi 2/3/4),0.27%
Network Boot,0.26%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.17%
LibreELEC (RPi0/RPi1),0.17%
Recalbox 7.1.1-Reloaded (Pi 2),0.16%
OctoPi,0.14%
TLXOS RPi 4.9.3 (latest),0.06%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
