Operating System,Percentage
Raspberry Pi OS (32-bit),40.16%
Raspberry Pi OS (other),22.49%
Ubuntu,17.09%
RetroPie,4.55%
Bootloader,4.28%
Recalbox,3.73%
LibreELEC,2.71%
Manjaro ARM Linux,1.91%
RISC OS Pi,0.79%
Homebridge,0.78%
Home Assistant,0.60%
OctoPi,0.50%
info-beamer digital signage,0.18%
TLXOS,0.14%
ALT,0.09%
