Image,Percentage
Raspberry Pi OS (32-bit),41.66%
Raspberry Pi OS Lite (32-bit),13.92%
Raspberry Pi OS Full (32-bit),8.63%
Ubuntu Desktop 21.04 (RPi 4/400),7.30%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.66%
Ubuntu Server 21.04 (RPi 3/4/400),2.71%
RetroPie 4.7.1 (RPI 4/400),2.49%
SD Card Boot,2.11%
USB Boot,1.91%
Recalbox 7.2-Reloaded - Pi3,1.88%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.81%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.46%
RetroPie 4.7.1 (RPI 2/3),1.45%
LibreELEC (RPi4),1.26%
LibreELEC (RPi2/RPi3),1.10%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),1.04%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.90%
RISC OS (5.28),0.70%
Ubuntu Core 18 (RPi 3/4),0.59%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.52%
RetroPie 4.7.1 (RPI 1/Zero),0.51%
OctoPi,0.42%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.36%
Ubuntu Core 18 (RPi 2/3/4),0.33%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.28%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.24%
LibreELEC (RPi0/RPi1),0.21%
info-beamer OS,0.19%
Recalbox 7.2-Reloaded - Pi2,0.11%
Network Boot,0.11%
TLXOS RPi 4.9.3 (latest),0.04%
OctoPi (mirror),0.03%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
info-beamer OS (testing),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.01%
