Operating System,Percentage
Raspberry Pi OS (32-bit),42.98%
Raspberry Pi OS (other),23.67%
Ubuntu,14.42%
RetroPie,4.87%
Bootloader,4.20%
Recalbox,3.39%
LibreELEC,2.85%
Manjaro ARM Linux,2.29%
RISC OS Pi,0.79%
OctoPi,0.44%
TLXOS,0.07%
ALT,0.03%
