Operating System,Percentage
Raspberry Pi OS (32-bit),47.08%
Raspberry Pi OS (other),24.57%
Ubuntu,11.70%
RetroPie,5.45%
Recalbox,4.58%
LibreELEC,3.24%
Misc utility images,2.31%
RISC OS Pi,0.95%
TLXOS,0.11%
