Image,Percentage
Raspberry Pi OS (32-bit),43.31%
Raspberry Pi OS Lite (32-bit),13.73%
Raspberry Pi OS Full (32-bit),9.52%
Ubuntu Desktop 20.10 (RPi 4/400),6.04%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.64%
SD Card Boot,2.37%
RetroPie 4.7.1 (RPI 4/400),2.35%
Ubuntu Server 20.10 (RPi 3/4/400),2.24%
USB Boot,2.24%
RetroPie 4.7.1 (RPI 2/3),1.48%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.43%
Recalbox 7.1.1-Reloaded (Pi 3),1.20%
LibreELEC (RPi4),1.19%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),1.07%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),1.00%
LibreELEC (RPi2/RPi3),1.00%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.96%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.64%
RISC OS (5.28),0.61%
OctoPi,0.56%
Ubuntu Core 18 (RPi 3/4),0.49%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.39%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.30%
info-beamer OS,0.28%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.28%
LibreELEC (RPi0/RPi1),0.25%
Network Boot,0.13%
Recalbox 7.1.1-Reloaded (Pi 2),0.09%
info-beamer OS (testing),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
TLXOS RPi 4.9.3 (latest),0.04%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
OctoPi (mirror),0.01%
