Image,Percentage
Raspberry Pi OS (32-bit),45.67%
Raspberry Pi OS Lite (32-bit),14.91%
Raspberry Pi OS Full (32-bit),10.57%
Ubuntu Desktop 20.10 (RPi 4/400),6.01%
RetroPie 4.7.1 (RPI 4/400),2.89%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.57%
Raspberry Pi 4 EEPROM boot recovery,2.39%
Recalbox 7.1.1-Reloaded (Pi 3),1.74%
RetroPie 4.7.1 (RPI 2/3),1.68%
LibreELEC (RPi4),1.58%
Ubuntu Server 20.10 (RPi 3/4/400),1.52%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.49%
LibreELEC (RPi2/RPi3),1.44%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.10%
RISC OS (5.28),1.02%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.82%
RetroPie 4.7.1 (RPI 1/Zero),0.69%
Ubuntu Core 18 (RPi 3/4),0.53%
Ubuntu Core 18 (RPi 2/3/4),0.41%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.35%
LibreELEC (RPi0/RPi1),0.33%
Recalbox 7.1.1-Reloaded (Pi 2),0.24%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi 4.8.1 (LTS),0.02%
