Operating System,Percentage
Raspberry Pi OS (32-bit),48.69%
Raspberry Pi OS (other),24.29%
Ubuntu,11.27%
RetroPie,5.56%
Recalbox,3.51%
LibreELEC,3.38%
Misc utility images,2.28%
RISC OS Pi,0.92%
TLXOS,0.10%
