Image,Percentage
Raspberry Pi OS (32-bit),41.69%
Raspberry Pi OS Lite (32-bit),13.97%
Raspberry Pi OS Full (32-bit),9.18%
Ubuntu Desktop 21.04 (RPi 4/400),3.87%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.48%
Ubuntu Desktop 20.10 (RPi 4/400),2.93%
RetroPie 4.7.1 (RPI 4/400),2.62%
USB Boot,2.08%
SD Card Boot,2.03%
RetroPie 4.7.1 (RPI 2/3),1.64%
LibreELEC (RPi4),1.38%
Ubuntu Server 21.04 (RPi 3/4/400),1.34%
LibreELEC (RPi2/RPi3),1.13%
Ubuntu Server 20.10 (RPi 3/4/400),0.99%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.98%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
Recalbox 7.2-Reloaded - Pi3,0.88%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.83%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.82%
Recalbox 7.1.1-Reloaded (Pi 3),0.77%
RetroPie 4.7.1 (RPI 1/Zero),0.67%
RISC OS (5.28),0.65%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.62%
Ubuntu Core 18 (RPi 3/4),0.53%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.52%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.47%
OctoPi,0.46%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.27%
LibreELEC (RPi0/RPi1),0.25%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.19%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.19%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.16%
Network Boot,0.15%
info-beamer OS,0.13%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.13%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,0.11%
Recalbox 7.2.1-Reloaded - Pi3,0.09%
Homebridge,0.08%
Recalbox 7.1.1-Reloaded (Pi 2),0.08%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.07%
Recalbox 7.2-Reloaded - Pi2,0.07%
TLXOS RPi 4.9.3 (latest),0.04%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.03%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.02%
info-beamer OS (testing),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
