Operating System,Percentage
Raspberry Pi OS (32-bit),46.53%
Raspberry Pi OS (other),25.11%
Ubuntu,11.81%
RetroPie,5.13%
Recalbox,4.77%
LibreELEC,3.18%
Misc utility images,2.35%
RISC OS Pi,1.00%
TLXOS,0.11%
