Image,Percentage
Raspberry Pi OS (32-bit),44.90%
Raspberry Pi OS Lite (32-bit),14.35%
Raspberry Pi OS Full (32-bit),9.88%
Ubuntu Desktop 20.10 (RPi 4/400),5.92%
RetroPie 4.7.1 (RPI 4/400),2.81%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.77%
RetroPie 4.7.1 (RPI 2/3),1.86%
Ubuntu Server 20.10 (RPi 3/4/400),1.79%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.72%
Recalbox 7.1.1-Reloaded (Pi 3),1.57%
LibreELEC (RPi4),1.56%
Raspberry Pi 4 EEPROM boot recovery,1.35%
LibreELEC (RPi2/RPi3),1.32%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.97%
USB Boot,0.90%
SD Card Boot,0.90%
RISC OS (5.28),0.86%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.74%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Core 18 (RPi 3/4),0.55%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.54%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.37%
Ubuntu Core 18 (RPi 2/3/4),0.30%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.27%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.19%
OctoPi,0.15%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.11%
Network Boot,0.08%
TLXOS RPi 4.9.3 (latest),0.06%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
OctoPi (mirror),0.00%
