Operating System,Percentage
Raspberry Pi OS (32-bit),48.46%
Raspberry Pi OS (other),24.36%
Ubuntu,11.33%
RetroPie,5.54%
Recalbox,3.64%
LibreELEC,3.36%
Misc utility images,2.29%
RISC OS Pi,0.93%
TLXOS,0.10%
