Operating System,Percentage
Raspberry Pi OS (32-bit),45.53%
Raspberry Pi OS (other),24.07%
Ubuntu,12.27%
RetroPie,4.85%
Bootloader,3.58%
Recalbox,3.21%
LibreELEC,2.87%
Manjaro ARM Linux,2.64%
RISC OS Pi,0.85%
TLXOS,0.13%
