Operating System,Percentage
Raspberry Pi OS (32-bit),48.02%
Raspberry Pi OS (other),24.50%
Ubuntu,12.03%
RetroPie,4.39%
Recalbox,4.17%
LibreELEC,3.24%
Misc utility images,2.42%
RISC OS Pi,1.10%
TLXOS,0.12%
