Operating System,Percentage
Raspberry Pi OS (32-bit),46.44%
Raspberry Pi OS (other),24.64%
Ubuntu,13.16%
RetroPie,5.22%
Recalbox,4.06%
LibreELEC,3.12%
Misc utility images,2.42%
RISC OS Pi,0.84%
TLXOS,0.10%
