Image,Percentage
Raspberry Pi OS (32-bit),47.35%
Raspberry Pi OS Lite (32-bit),14.87%
Raspberry Pi OS Full (32-bit),9.97%
Ubuntu Desktop 20.10 (RPi 4/400),5.54%
RetroPie 4.7.1 (RPI 4/400),2.68%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.23%
Raspberry Pi 4 EEPROM boot recovery,2.19%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.00%
Recalbox 7.1.1-Reloaded (Pi 3),1.86%
Ubuntu Server 20.10 (RPi 3/4/400),1.64%
LibreELEC (RPi4),1.63%
RetroPie 4.7.1 (RPI 2/3),1.58%
LibreELEC (RPi2/RPi3),1.28%
RISC OS (5.28),1.03%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.98%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.63%
Ubuntu Core 18 (RPi 3/4),0.50%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
LibreELEC (RPi0/RPi1),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
TLXOS RPi 4.9.2 (latest),0.09%
TLXOS RPi 4.8.0 (LTS),0.02%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
