Image,Percentage
Raspberry Pi OS (32-bit),46.38%
Raspberry Pi OS Lite (32-bit),14.61%
Raspberry Pi OS Full (32-bit),9.90%
Ubuntu Desktop 20.10 (RPi 4/400),5.78%
RetroPie 4.7.1 (RPI 4/400),2.61%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.58%
Raspberry Pi 4 EEPROM boot recovery,2.42%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.07%
Recalbox 7.1.1-Reloaded (Pi 3),1.89%
Ubuntu Server 20.10 (RPi 3/4/400),1.65%
RetroPie 4.7.1 (RPI 2/3),1.63%
LibreELEC (RPi4),1.60%
LibreELEC (RPi2/RPi3),1.52%
RISC OS (5.28),0.99%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.96%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.69%
Ubuntu Core 18 (RPi 3/4),0.54%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
Ubuntu Core 18 (RPi 2/3/4),0.38%
LibreELEC (RPi0/RPi1),0.35%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
TLXOS RPi 4.9.3 (latest),0.09%
TLXOS RPi IoT 4.8.1 (LTS),0.02%
TLXOS RPi 4.8.1 (LTS),0.02%
Ubuntu Server 20.04.1 LTS (RPi 3/4),0.00%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.00%
