Operating System,Percentage
Raspberry Pi OS (32-bit),38.57%
Raspberry Pi OS (other),23.26%
Ubuntu,14.61%
Bootloader,5.12%
OctoPi,4.66%
RetroPie,3.83%
Recalbox,2.55%
Manjaro ARM Linux,1.93%
LibreELEC,1.42%
OSMC,1.32%
Home Assistant,1.04%
Homebridge,0.89%
RISC OS Pi,0.57%
info-beamer digital signage,0.13%
TLXOS,0.06%
ALT,0.05%
