Operating System,Percentage
Raspberry Pi OS (32-bit),47.32%
Raspberry Pi OS (other),24.68%
Ubuntu,11.78%
RetroPie,5.15%
Recalbox,4.59%
LibreELEC,3.21%
Misc utility images,2.23%
RISC OS Pi,0.93%
TLXOS,0.12%
