Operating System,Percentage
Raspberry Pi OS (32-bit),44.59%
Raspberry Pi OS (other),24.07%
Ubuntu,13.31%
RetroPie,5.30%
Recalbox,3.73%
LibreELEC,3.09%
Bootloader,2.34%
Manjaro ARM Linux,1.34%
Misc utility images,1.09%
RISC OS Pi,0.84%
OctoPi,0.20%
TLXOS,0.09%
ALT,0.00%
