Operating System,Percentage
Raspberry Pi OS (32-bit),42.39%
Raspberry Pi OS (other),22.13%
Ubuntu,17.19%
Recalbox,4.59%
RetroPie,4.41%
Bootloader,3.69%
LibreELEC,2.55%
Manjaro ARM Linux,1.92%
RISC OS Pi,0.56%
OctoPi,0.34%
info-beamer digital signage,0.15%
TLXOS,0.04%
ALT,0.04%
