Operating System,Percentage
Raspberry Pi OS (32-bit),40.34%
Raspberry Pi OS (other),22.66%
Ubuntu,16.58%
RetroPie,4.72%
Recalbox,4.35%
Bootloader,4.29%
LibreELEC,2.67%
Manjaro ARM Linux,2.00%
Homebridge,0.90%
RISC OS Pi,0.70%
OctoPi,0.46%
info-beamer digital signage,0.21%
TLXOS,0.07%
ALT,0.07%
