Operating System,Percentage
Raspberry Pi OS (32-bit),44.43%
Raspberry Pi OS (other),25.21%
Ubuntu,12.33%
RetroPie,5.50%
Recalbox,5.04%
LibreELEC,3.88%
Misc utility images,2.52%
RISC OS Pi,0.96%
TLXOS,0.11%
