Image,Percentage
Raspberry Pi OS (32-bit),41.97%
Raspberry Pi OS Lite (32-bit),14.11%
Raspberry Pi OS Full (32-bit),9.29%
Ubuntu Desktop 20.10 (RPi 4/400),4.04%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.41%
RetroPie 4.7.1 (RPI 4/400),2.61%
Ubuntu Desktop 21.04 (RPi 4/400),2.45%
USB Boot,2.17%
SD Card Boot,1.96%
RetroPie 4.7.1 (RPI 2/3),1.67%
LibreELEC (RPi4),1.41%
Ubuntu Server 20.10 (RPi 3/4/400),1.36%
LibreELEC (RPi2/RPi3),1.17%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.13%
Recalbox 7.1.1-Reloaded (Pi 3),1.11%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
Ubuntu Server 21.04 (RPi 3/4/400),0.85%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.74%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.72%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
Recalbox 7.2-Reloaded - Pi3,0.64%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.64%
RISC OS (5.28),0.64%
Ubuntu Core 18 (RPi 3/4),0.53%
OctoPi,0.45%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.39%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.37%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.33%
LibreELEC (RPi0/RPi1),0.26%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.24%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.21%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.18%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.15%
Network Boot,0.15%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.13%
Recalbox 7.1.1-Reloaded (Pi 2),0.12%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.11%
info-beamer OS,0.10%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.07%
Recalbox 7.2-Reloaded - Pi2,0.05%
TLXOS RPi 4.9.3 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.02%
info-beamer OS (testing),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Simply Linux 9.1 (Raspberry Pi 4/3),0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
