Image,Percentage
Raspberry Pi OS (32-bit),41.40%
Raspberry Pi OS Lite (32-bit),13.68%
Raspberry Pi OS Full (32-bit),8.95%
Ubuntu Desktop 21.04 (RPi 4/400),4.14%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.67%
Ubuntu Desktop 20.10 (RPi 4/400),2.83%
RetroPie 4.7.1 (RPI 4/400),2.56%
USB Boot,2.05%
SD Card Boot,1.99%
RetroPie 4.7.1 (RPI 2/3),1.64%
Ubuntu Server 21.04 (RPi 3/4/400),1.51%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.31%
LibreELEC (RPi4),1.31%
LibreELEC (RPi2/RPi3),1.14%
Recalbox 7.2-Reloaded - Pi3,1.05%
Ubuntu Server 20.10 (RPi 3/4/400),0.98%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.95%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.94%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),0.90%
Recalbox 7.1.1-Reloaded (Pi 3),0.80%
RetroPie 4.7.1 (RPI 1/Zero),0.65%
RISC OS (5.28),0.65%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.64%
Ubuntu Core 18 (RPi 3/4),0.55%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.55%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.53%
OctoPi,0.46%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.30%
LibreELEC (RPi0/RPi1),0.25%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.22%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.21%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.20%
info-beamer OS,0.19%
Network Boot,0.13%
Recalbox 7.2-Reloaded - Pi2,0.09%
Recalbox 7.1.1-Reloaded (Pi 2),0.08%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
