Operating System,Percentage
Raspberry Pi OS (32-bit),45.78%
Raspberry Pi OS (other),24.23%
Ubuntu,13.11%
RetroPie,4.22%
Bootloader,3.82%
Recalbox,3.04%
LibreELEC,2.44%
Manjaro ARM Linux,2.07%
RISC OS Pi,0.76%
OctoPi,0.41%
ALT,0.09%
TLXOS,0.03%
