Image,Percentage
Raspberry Pi OS (32-bit),44.82%
Raspberry Pi OS Lite (32-bit),14.19%
Raspberry Pi OS Full (32-bit),9.97%
Ubuntu Desktop 20.10 (RPi 4/400),5.46%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.61%
RetroPie 4.7.1 (RPI 4/400),2.59%
RetroPie 4.7.1 (RPI 2/3),1.88%
Ubuntu Server 20.10 (RPi 3/4/400),1.74%
SD Card Boot,1.64%
USB Boot,1.60%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.56%
Recalbox 7.1.1-Reloaded (Pi 3),1.51%
LibreELEC (RPi4),1.51%
LibreELEC (RPi2/RPi3),1.29%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.04%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.96%
RetroPie 4.7.1 (RPI 1/Zero),0.74%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.72%
RISC OS (5.28),0.70%
Ubuntu Core 18 (RPi 3/4),0.56%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.51%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.37%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.36%
Raspberry Pi 4 EEPROM boot recovery,0.33%
Ubuntu Core 18 (RPi 2/3/4),0.28%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.21%
OctoPi,0.20%
Recalbox 7.1.1-Reloaded (Pi 2),0.18%
Network Boot,0.14%
TLXOS RPi 4.9.3 (latest),0.06%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
