Operating System,Percentage
Raspberry Pi OS (32-bit),41.69%
Raspberry Pi OS (other),23.15%
Ubuntu,15.51%
RetroPie,4.93%
Bootloader,4.25%
Recalbox,4.18%
LibreELEC,2.76%
Manjaro ARM Linux,2.04%
RISC OS Pi,0.65%
OctoPi,0.47%
info-beamer digital signage,0.15%
Homebridge,0.08%
ALT,0.07%
TLXOS,0.06%
Misc utility images,0.00%
