Image,Percentage
Raspberry Pi OS (32-bit),40.17%
Raspberry Pi OS Lite (32-bit),13.44%
Raspberry Pi OS Full (32-bit),8.92%
Ubuntu Desktop 21.04 (RPi 4/400),8.04%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.50%
Ubuntu Server 21.04 (RPi 3/4/400),2.76%
RetroPie 4.7.1 (RPI 4/400),2.41%
SD Card Boot,2.20%
USB Boot,2.02%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.78%
Recalbox 7.2.1-Reloaded - Pi3,1.64%
RetroPie 4.7.1 (RPI 2/3),1.61%
LibreELEC (RPi4),1.37%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.19%
LibreELEC (RPi2/RPi3),1.11%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
Homebridge,0.82%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.81%
RISC OS (5.28),0.78%
RetroPie 4.7.1 (RPI 1/Zero),0.58%
Ubuntu Core 18 (RPi 3/4),0.52%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.52%
OctoPi,0.44%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.34%
Ubuntu Core 18 (RPi 2/3/4),0.31%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.31%
LibreELEC (RPi0/RPi1),0.30%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.23%
Recalbox 7.2.1-Reloaded - Pi2,0.19%
info-beamer OS,0.17%
Home Assistant OS 5.13 (RPi 4/400),0.15%
Network Boot,0.11%
Home Assistant OS 5.13 (RPi 3),0.10%
TLXOS RPi 4.10.0 (latest),0.09%
TLXOS RPi 4.8.2 (LTS),0.05%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
info-beamer OS (testing),0.01%
TLXOS RPi IoT 4.8.2 (LTS),0.01%
TLXOS RPi 4.9.3 (latest),0.00%
