Image,Percentage
Raspberry Pi OS (32-bit),42.98%
Raspberry Pi OS Lite (32-bit),14.39%
Raspberry Pi OS Full (32-bit),9.44%
Ubuntu Desktop 20.10 (RPi 4/400),5.77%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.28%
RetroPie 4.7.1 (RPI 4/400),2.58%
USB Boot,2.26%
Ubuntu Server 20.10 (RPi 3/4/400),1.92%
SD Card Boot,1.90%
RetroPie 4.7.1 (RPI 2/3),1.60%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.53%
Recalbox 7.1.1-Reloaded (Pi 3),1.51%
LibreELEC (RPi4),1.39%
LibreELEC (RPi2/RPi3),1.15%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.03%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.88%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
RISC OS (5.28),0.66%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.64%
Ubuntu Core 18 (RPi 3/4),0.54%
OctoPi,0.46%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.36%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.34%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Ubuntu Desktop 21.04 (RPi 4/400),0.31%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.22%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.20%
Recalbox 7.1.1-Reloaded (Pi 2),0.16%
Network Boot,0.15%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.14%
Ubuntu Server 21.04 (RPi 3/4/400),0.11%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.10%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.08%
info-beamer OS,0.05%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.05%
TLXOS RPi 4.9.3 (latest),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
Recalbox 7.2-Reloaded - Pi3,0.02%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
info-beamer OS (testing),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.00%
Recalbox 7.2-Reloaded - Pi2,0.00%
Raspberry Pi 4 EEPROM boot recovery,0.00%
