Operating System,Percentage
Raspberry Pi OS (32-bit),45.93%
Raspberry Pi OS (other),24.61%
Ubuntu,12.75%
RetroPie,5.33%
Recalbox,4.04%
LibreELEC,3.27%
Misc utility images,2.13%
RISC OS Pi,0.94%
Bootloader,0.51%
Manjaro ARM Linux,0.37%
TLXOS,0.10%
OctoPi,0.02%
