Image,Percentage
Raspberry Pi OS (32-bit),43.57%
Raspberry Pi OS Lite (32-bit),14.32%
Raspberry Pi OS Full (32-bit),9.63%
Ubuntu Desktop 20.10 (RPi 4/400),5.92%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.02%
RetroPie 4.7.1 (RPI 4/400),2.65%
USB Boot,1.97%
Ubuntu Server 20.10 (RPi 3/4/400),1.89%
SD Card Boot,1.72%
RetroPie 4.7.1 (RPI 2/3),1.71%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.56%
Recalbox 7.1.1-Reloaded (Pi 3),1.53%
LibreELEC (RPi4),1.45%
LibreELEC (RPi2/RPi3),1.24%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.02%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.98%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.80%
RISC OS (5.28),0.72%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
Ubuntu Core 18 (RPi 3/4),0.55%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.52%
OctoPi,0.35%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.34%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.30%
LibreELEC (RPi0/RPi1),0.27%
Raspberry Pi 4 EEPROM boot recovery,0.24%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.21%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
Network Boot,0.15%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
