Operating System,Percentage
Raspberry Pi OS (32-bit),45.54%
Raspberry Pi OS (other),23.91%
Ubuntu,13.24%
RetroPie,4.96%
Bootloader,3.71%
LibreELEC,2.76%
Recalbox,2.73%
Manjaro ARM Linux,1.96%
RISC OS Pi,0.69%
OctoPi,0.42%
TLXOS,0.08%
