Operating System,Percentage
Raspberry Pi OS (32-bit),39.82%
Raspberry Pi OS (other),22.12%
Ubuntu,16.55%
Recalbox,5.17%
RetroPie,5.09%
Bootloader,4.37%
LibreELEC,2.89%
Manjaro ARM Linux,2.47%
RISC OS Pi,0.78%
OctoPi,0.41%
info-beamer digital signage,0.24%
ALT,0.06%
TLXOS,0.03%
