Operating System,Percentage
Raspberry Pi OS (32-bit),38.87%
Raspberry Pi OS (other),21.88%
Ubuntu,14.44%
Bootloader,5.61%
OctoPi,4.85%
RetroPie,4.06%
Recalbox,2.72%
Manjaro ARM Linux,1.92%
LibreELEC,1.47%
OSMC,1.39%
Home Assistant,1.08%
Homebridge,0.93%
RISC OS Pi,0.54%
info-beamer digital signage,0.15%
TLXOS,0.06%
ALT,0.05%
