Image,Percentage
Raspberry Pi OS (32-bit),48.88%
Raspberry Pi OS Lite (32-bit),15.44%
Raspberry Pi OS Full (32-bit),10.33%
Ubuntu Desktop 20.10 (RPi 4/400),5.23%
RetroPie 4.7.1 (RPI 4/400),2.50%
Raspberry Pi 4 EEPROM boot recovery,2.17%
Ubuntu Server 20.04.1 LTS (RPi 3/4),1.99%
Recalbox 7.1.1-Reloaded (Pi 3),1.71%
Ubuntu Server 20.10 (RPi 3/4/400),1.62%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.60%
RetroPie 4.7.1 (RPI 2/3),1.30%
LibreELEC (RPi4),1.28%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.08%
LibreELEC (RPi2/RPi3),1.03%
RISC OS (5.28),0.80%
RetroPie 4.7.1 (RPI 1/Zero),0.71%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.68%
Ubuntu Core 18 (RPi 3/4),0.49%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.32%
LibreELEC (RPi0/RPi1),0.23%
Recalbox 7.1.1-Reloaded (Pi 2),0.15%
TLXOS RPi 4.9.2 (latest),0.11%
TLXOS RPi 4.8.0 (LTS),0.02%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
