Operating System,Percentage
Raspberry Pi OS (32-bit),47.04%
Raspberry Pi OS (other),24.91%
Ubuntu,11.94%
RetroPie,5.03%
Recalbox,4.55%
LibreELEC,3.20%
Misc utility images,2.25%
RISC OS Pi,0.96%
TLXOS,0.12%
