Image,Percentage
Raspberry Pi OS (32-bit),45.55%
Raspberry Pi OS Lite (32-bit),13.63%
Raspberry Pi OS Full (32-bit),10.04%
Ubuntu Desktop 20.10 (RPi 4/400),5.91%
RetroPie 4.7.1 (RPI 4/400),3.10%
Recalbox 7.1.1-Reloaded (Pi 3),2.69%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.41%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.25%
Raspberry Pi 4 EEPROM boot recovery,2.21%
RetroPie 4.7.1 (RPI 2/3),2.08%
LibreELEC (RPi4),1.79%
LibreELEC (RPi2/RPi3),1.67%
Ubuntu Server 20.10 (RPi 3/4/400),1.61%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.90%
RISC OS (5.28),0.82%
RetroPie 4.7.1 (RPI 1/Zero),0.73%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.62%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.50%
Ubuntu Core 18 (RPi 3/4),0.44%
LibreELEC (RPi0/RPi1),0.40%
Ubuntu Core 18 (RPi 2/3/4),0.27%
Recalbox 7.1.1-Reloaded (Pi 2),0.25%
TLXOS RPi 4.9.2 (latest),0.12%
TLXOS RPi IoT 4.8.0 (LTS),0.02%
TLXOS RPi 4.8.0 (LTS),0.01%
